x,Y
750,184.674379843253
1000,113.539619860442
1250,149.092878175818
1500,165.981921656264
1750,190.636269413395
2000,400.707912178927
2250,272.965998557762
2500,335.317074270809
2750,284.149263568953
3000,111.864519755046
0,164.140291006669
250,129.627346876672
500,67.1175366569968
750,96.305636430398
1000,86.2204772949219
1250,145.579251970564
1500,144.427679839399
1750,217.896713193051
2000,230.896122052688
2250,157.990575517927
2500,99.3876049335186
2750,132.995945323597
3000,128.07462644577
0,240.566472434998
250,158.91424533299
500,44.4518442153931
750,113.986434589733
1000,134.00561938967
1250,134.439161300659
1500,186.734383332102
1750,158.253370740197
2000,213.742130328619
2250,194.626144645328
2500,226.961124992371
2750,300.310949707031
3000,263.302333881329
250,46.1697941532841
500,29.6008272171021
750,62.0653366001173
1000,71.315113957723
1250,104.993620469835
1500,104.915898525354
1750,41.8265187190129
2000,90.3173840455335
2250,68.9701707628038
2500,8.85181342230903
2750,215.182807922363
250,12.6801220121838
500,31.5953144746668
750,11.8813917371962
1250,148.643809111222
1500,66.6672278956363
1750,116.944784800212
2000,77.49620402943
2250,89.1425700055228
2500,293.812539765329
2750,125.683482408524
3000,118.130167930357
3250,83.8592772165934
3500,47.7311931053797
3750,66.8365529378255
250,252.819896024816
500,44.5653505325317
1000,13.2201224107009
1250,171.049553218641
1500,11.0399208068848
1750,66.3092909632502
2000,105.883103609085
2250,95.4316663240132
2500,8.80954543403957
2750,47.9611610999474
3000,14.210507479581
3500,5.15303012302944
0,82.0717293875558
250,67.089640712738
1500,132.16883422233
1750,69.9633245018293
2000,57.0052443368094
2250,144.658984097567
3000,172.515815734863
3250,135.362385094166
